region,provider,country_iso,lat,lon,abs_lat,ground_truth_ci,country_ci,country_fossil_frac,country_clean_frac,country_coal_frac,country_gas_frac,country_nuclear_frac,country_renew_frac,country_hydro_frac,country_solar_frac,country_wind_frac,n_plants_300km,total_emissions_300km,mean_emissions_per_plant,total_capacity_300km,emissions_per_capacity,local_pct_coal,local_pct_gas,local_pct_solar,local_pct_wind,local_pct_hydro,local_pct_nuclear,local_pct_fossil,local_pct_clean,n_renew_nearby,renew_cap_nearby_mw,local_ef_weighted,local_generation_gwh,local_mean_cf,idw_weighted_ci,n_fossil_ops_300km,fossil_emissions_300km,n_coal_mines,n_refineries,n_oilgas,nearest_dc_km,n_dcs_300km,country_ci_sq,ct_grid_ci_est,emaps_zone_ci,emaps_idw_ci,emaps_zone_clean_cap_frac,emaps_zone_fossil_cap_frac,emaps_zone_coal_cap_mw
africa-south1,gcp,ZAF,-26.2041,28.0473,26.2041,646,860.8585611812015,0.8347273921611562,0.16527260783884387,0.8114298226406832,0.0,0.03573461791110138,0.1295379899277425,0.008583315086490037,0.068184804028903,0.05088679658419093,21,189936900.0,9044614.285714285,45488.3,4075.5230740511065,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.3076923076923077,5,1116.0,1012.7299678724399,187549.71,0.4199727272727272,877.1173893424371,89,44255339.455880046,88,1,0,0.0,2,741.0774623589684,3485.4134626304854,119.98323776485537,524.3585195706249,0.3684210526315789,0.0,0.0
asia-east1,gcp,TWN,24.1404245,120.4268396,24.1404245,451,576.3688381790737,0.8431804455181724,0.15681955448182752,0.43361637119408813,0.39776885636124626,0.07030944683269974,0.0865101076491278,0.014708494688599137,0.04821117703485273,0.016378299641169575,111,244826397.0,2205643.2162162163,75105.66,2655.4697429483076,0.2777777777777778,0.12962962962962962,0.0,0.0,0.0,0.0,0.4320987654320988,0.5679012345679012,51,17091.36,702.0340822934801,349417.74,0.5475173553719008,765.8752510069136,7,15788631.609961499,0,6,1,0.0,1,332.2010376238952,2748.565560798866,576.3688381790737,576.1837938973653,0.33404675666776423,0.6646361540994402,19120.0
asia-east2,gcp,CHN,22.3193,114.1694,22.3193,360,482.1199897537342,0.6472405252236092,0.352759474776391,0.6069512526441422,0.03251726554744974,0.045955480100088916,0.3068039946763021,0.1316304406427763,0.061752147820360086,0.09364782194577145,171,272233277.0,1592007.4678362573,121133.12,1960.1158487027376,0.22580645161290322,0.30414746543778803,0.0,0.0,0.0,0.0,0.5483870967741936,0.4516129032258064,46,17753.2,706.6015412539917,385283.084,0.45471165644171774,857.3500619245406,8,19487167.730805922,0,5,3,0.0,3,232.4396845201408,1454.6014268337535,482.1199897537342,482.1322457374332,0.0,1.0,2875.0
asia-northeast1,gcp,JPN,35.6420573,140.1144645,35.6420573,459,609.6311879291164,0.6852917090112579,0.31470829098874215,0.32305551992580245,0.3284427386014938,0.07640773154680269,0.23830055944193942,0.07280638572880387,0.10790224072776786,0.009008297895432706,94,147666964.7,1570925.1563829787,69359.29000000001,1434.4189794035658,0.08438818565400844,0.1729957805907173,0.0,0.0,0.0,0.0,0.27848101265822783,0.7215189873417722,143,33586.2,570.3502065505984,258903.995,0.5966733266733267,740.7397654405884,10,11848068.31851496,0,8,2,0.0,3,371.6501852958657,1458.9962873577292,609.6311879291164,595.6621084760213,0.2526109077925556,0.7424796929393912,8370.0
asia-northeast2,gcp,JPN,34.6937,135.5023,34.6937,385,409.8111703301701,0.6852917090112579,0.31470829098874215,0.32305551992580245,0.3284427386014938,0.07640773154680269,0.23830055944193942,0.07280638572880387,0.10790224072776786,0.009008297895432706,93,134489411.4,1446122.7032258066,60268.61,1437.8679497093622,0.14222222222222222,0.12,0.0,0.0,0.0,0.0,0.3155555555555556,0.6844444444444444,132,33265.3,630.3018223803772,213367.998,0.5699793388429752,719.6528183640854,8,9334500.914129574,0,8,0,0.0,3,167.9451953273837,1529.2285417271803,409.8111703301701,412.21827593238794,0.4639711219665313,0.5360288780334687,2301.0
asia-northeast3,gcp,KOR,37.5665,126.978,37.5665,378,469.4018298906225,0.6166821341930021,0.38331786580699784,0.3299630407528615,0.27553362965857464,0.293866718767808,0.08945114703918981,0.006024194467510053,0.04781907878669467,0.005552027874110617,94,180176851.0,1916775.0106382978,79952.72000000002,1807.7597874876915,0.17834394904458598,0.29936305732484075,0.0,0.0,0.0,0.0,0.47770700636942676,0.5222929936305732,63,19715.86,693.1586868855215,259928.5,0.5147174975562073,739.9729067884382,19,14633674.659280675,14,5,0,0.0,3,220.33807790466489,1389.7193867432468,469.4018298906225,467.3168183256054,0.3675186023940472,0.615140731154966,41200.0
asia-south1,gcp,IND,19.076,72.8777,19.076,648,891.9451189752027,0.7803750190558463,0.21962498094415364,0.7523044870166167,0.02605823466639565,0.024488032928502462,0.19513694801565118,0.0758117790538137,0.057629960871995525,0.04171959957314904,69,35998937.6,521723.73333333334,19101.34,1405.5776372245425,0.15942028985507245,0.15217391304347827,0.0,0.0,0.0,0.0,0.35507246376811596,0.644927536231884,69,6510.150000000001,736.2514126862898,48842.784,0.35163636363636364,890.4184973713816,9,22588352.96907689,6,2,1,0.0,4,795.5660952636885,1470.7173222187669,891.9451189752027,848.4493024038958,0.4194914594028014,0.561813774730314,84386.0
asia-south2,gcp,IND,28.6139,77.209,28.6139,529,691.95480485392,0.7803750190558463,0.21962498094415364,0.7523044870166167,0.02605823466639565,0.024488032928502462,0.19513694801565118,0.0758117790538137,0.057629960871995525,0.04171959957314904,68,80232744.31,1179893.2986764705,23089.78,2892.4291215074295,0.14189189189189189,0.08108108108108109,0.0,0.0,0.0,0.0,0.23648648648648649,0.7635135135135135,80,4649.1,870.8128992584637,92129.39296000001,0.3900321678321679,754.5642761797861,3,8750199.285371784,0,3,0,0.0,1,478.8014519604265,2711.659849934434,691.95480485392,694.7683010828607,0.5608525071771479,0.41150203107677596,44285.0
asia-southeast1,gcp,SGP,1.3512738,103.7095924,1.3512738,369,480.3993473515311,0.9546485260770975,0.045351473922902494,0.009942438513867084,0.9256933542647828,0.0,0.045351473922902494,0.0,0.016396302110587825,0.0,48,72943061.5,1519647.1145833333,36363.28,1996.3190205036951,0.13559322033898305,0.4745762711864407,0.0,0.0,0.0,0.0,0.6610169491525424,0.3389830508474576,11,175.5,539.373134571594,135236.67119999998,0.45400000000000007,757.9811348038617,17,31594366.215159517,5,10,2,0.0,5,230.78353293577703,1914.980885897149,480.3993473515311,480.7154273386427,0.09438567941415785,0.9023596419853539,210.0
asia-southeast2,gcp,IDN,-6.2088,106.8456,6.2088,580,771.976930622075,0.8038915872159262,0.1961084127840739,0.6155483600167897,0.17002458475745041,0.0,0.1961084127840739,0.08184925346285304,0.0013191821070936021,0.0010793308148947653,36,73497590.7,2041599.7416666667,29059.56,2274.3532641288384,0.41509433962264153,0.20754716981132076,0.0,0.0,0.0,0.0,0.679245283018868,0.320754716981132,17,3256.26,840.4846781304603,87446.658,0.36831060606060606,751.4366746339573,10,7103110.408152254,5,2,3,0.0,3,595.94838141268,2033.2067947473913,,480.39934735153116,,,
australia-southeast1,gcp,AUS,-33.8688,151.2093,33.8688,501,654.211783491909,0.6392738913747317,0.36072610862526827,0.46389464876859837,0.1556258867183237,0.0,0.36072610862526827,0.057332023718578345,0.1706500782131034,0.12052093564698609,15,40361382.3952,2690758.8263466666,10312.66,3441.319865967058,0.14634146341463414,0.14634146341463414,0.0,0.0,0.0,0.0,0.3414634146341463,0.6585365853658537,26,1415.8,966.1245996692704,41776.909291,0.31116969696969693,870.1983254998911,38,36060786.8926296,37,0,1,0.0,6,427.9930576596645,2501.9711679666634,654.211783491909,589.6882141423332,0.5465120643200854,0.37600667992321535,8270.0
australia-southeast2,gcp,AUS,-37.8136,144.9631,37.8136,456,600.2492651311627,0.6392738913747317,0.36072610862526827,0.46389464876859837,0.1556258867183237,0.0,0.36072610862526827,0.057332023718578345,0.1706500782131034,0.12052093564698609,15,27900782.303000003,1860052.1535333334,7288.38,2596.356297848621,0.09803921568627451,0.17647058823529413,0.0,0.0,0.0,0.0,0.27450980392156865,0.7254901960784313,36,3457.7499999999995,962.712947529196,29003.893709999997,0.28066233766233767,947.1442512263812,6,3393246.626155391,2,2,2,0.0,3,360.2991802905009,2447.216209258856,600.2492651311627,560.0790757658634,0.6138304450351334,0.32752716183311964,4690.0
europe-central2,gcp,POL,52.2297,21.0122,52.2297,723,527.5639648158033,0.7285333333333334,0.2714666666666667,0.6104888888888889,0.0874074074074074,0.0,0.2714666666666667,0.014103703703703703,0.07253333333333334,0.13665185185185186,58,82440446.0,1421387.0,29860.699999999997,2641.162246065029,0.3783783783783784,0.10810810810810811,0.0,0.0,0.0,0.0,0.5045045045045046,0.49549549549549543,53,1353.0,883.8084813891147,92462.021,0.41431902356902356,992.8988648837786,31,28279706.562790055,26,2,3,0.0,3,278.32373697217014,2011.359845076193,527.5639648158033,487.5194554053494,0.47103852020551734,0.4910435798207131,25482.87
europe-north1,gcp,FIN,60.53985,27.125318,60.53985,46,70.48962592376402,0.05586172344689379,0.9441382765531061,0.019789579158316632,0.006638276553106212,0.4248496993987976,0.5192885771543087,0.18925350701402804,0.00814128256513026,0.18324148296593187,73,25765360.85,352950.14863013703,17659.67,1063.2621097317349,0.10144927536231885,0.15942028985507245,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,65,6572.700000000001,689.5451271147249,37169.15035,0.2521897233201581,484.80845223058554,3,6700049.668222226,0,3,0,0.0,1,4.9687873628721855,81.50194552401742,255.07239751414136,191.95010721710307,0.5366808706668202,0.4093919152366694,1330.0
europe-southwest1,gcp,ESP,40.4168,-3.7038,40.4168,131,116.88788455105912,0.28867469879518076,0.7113253012048193,0.014457831325301205,0.23443929564411492,0.21056533827618165,0.5007599629286377,0.07417979610750695,0.1671177015755329,0.23773864689527338,35,3170403.8,90582.9657142857,4528.130000000001,121.73237899624431,0.0171990171990172,0.056511056511056514,0.0,0.0,0.0,0.0,0.07371007371007371,0.9262899262899262,372,21515.917,380.65779005768803,8329.727,0.2892068965517241,452.4885988376432,2,1647288.7973751826,0,1,1,0.0,3,13.662777554821725,202.11773116586676,116.88788455105912,125.02189202671553,0.73698419425217,0.25031784150303715,1820.0
europe-west1,gcp,BEL,50.4663049,3.8580813,50.4663049,122,121.47932258513958,0.26383495145631064,0.7361650485436892,0.0006067961165048543,0.2087378640776699,0.40558252427184466,0.3305825242718446,0.004611650485436893,0.09296116504854368,0.1853155339805825,253,80300912.825152,317394.9123523794,56704.409999999996,759.5330798910071,0.061899679829242264,0.13660618996798293,0.0,0.0,0.0,0.0,0.21344717182497333,0.7865528281750267,684,49019.63935500001,588.5088036430147,136252.266075,0.3895076741440378,709.295896105742,20,35517284.60496052,3,14,3,0.0,10,14.757225815744405,373.6250396948211,121.47932258513958,133.25352818284978,0.6740408959594613,0.2799895244593224,0.0
europe-west2,gcp,GBR,51.5074,-0.1276,51.5074,136,172.0639348530819,0.3991618113053256,0.6008381886946744,0.013833520733244743,0.3424988926368871,0.14068622440287573,0.4601519642917987,0.017820027939623156,0.046032232784762685,0.28096357627176394,202,43051027.919952005,213123.9005938218,41664.11,533.1572301438126,0.01290719114935464,0.06146281499692686,0.0,0.0,0.0,0.0,0.08358942839582054,0.9164105716041795,1425,39083.229595,379.00764265690054,113508.872612,0.4764397129186603,624.456552184059,11,18417085.282112166,1,8,2,0.0,7,29.605997677125607,412.4491386731694,172.0639348530819,228.4188241273079,0.5685192684079098,0.3414152662482284,0.0
europe-west3,gcp,DEU,50.1239022,8.9713297,50.1239022,345,297.13494811464113,0.4585669288218863,0.5414330711781137,0.2681313021256364,0.15055765763981063,0.01733394084668872,0.524099130331425,0.03859030487925672,0.12195170268824661,0.2719744844390737,274,103437200.88506001,377508.0324272263,59225.77,1031.2653176467486,0.09378407851690294,0.13304252998909488,0.0,0.0,0.0,0.0,0.23882224645583428,0.7611777535441657,643,41075.480429999996,738.7688513268607,139789.89216100003,0.4230869720830351,978.8524902977327,18,23233919.35009113,7,8,3,0.0,7,88.28917739109048,800.8824458642662,297.13494811464113,249.28603995462578,0.6608799396167612,0.2514774067207658,31193.0
